0,1,2,3,4,5,6,7,8,9,10
tropical fruit,citrus fruit,soda,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
sausage,shopping bags,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
bottled beer,long life bakery product,vinegar,pot plants,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
coffee,coffee,,,,,,,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
other vegetables,rolls/buns,soda,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
tropical fruit,citrus fruit,yogurt,frankfurter,specialty chocolate,hard cheese,whole milk,canned beer,,,
whole milk,herbs,,,,,,,,,
canned beer,chocolate,,,,,,,,,
other vegetables,frankfurter,root vegetables,newspapers,,,,,,,
sausage,yogurt,,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
beef,white bread,frozen vegetables,,,,,,,,
other vegetables,liquor,,,,,,,,,
bottled beer,beverages,,,,,,,,,
beef,shopping bags,,,,,,,,,
other vegetables,specialty chocolate,chocolate,,,,,,,,
soda,newspapers,long life bakery product,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
candy,soda,,,,,,,,,
pork,rolls/buns,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
onions,curd,,,,,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
sausage,newspapers,,,,,,,,,
ham,canned vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
sausage,other vegetables,,,,,,,,,
frankfurter,napkins,,,,,,,,,
berries,pastry,,,,,,,,,
chicken,citrus fruit,turkey,whole milk,sweet spreads,cream cheese ,specialty chocolate,oil,,,
pork,bottled water,bottled water,,,,,,,,
soda,rolls/buns,,,,,,,,,
sugar,shopping bags,instant coffee,,,,,,,,
yogurt,yogurt,bags,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
liquor,vinegar,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
rolls/buns,tropical fruit,soda,dessert,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
soda,tropical fruit,,,,,,,,,
pork,candy,yogurt,,,,,,,,
frozen fish,white bread,,,,,,,,,
softener,salty snack,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
beef,salty snack,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
sausage,butter milk,beverages,,,,,,,,
soda,salty snack,,,,,,,,,
pip fruit,soda,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
canned fish,curd,,,,,,,,,
berries,domestic eggs,,,,,,,,,
white bread,brown bread,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
chocolate,sliced cheese,bottled water,oil,,,,,,,
other vegetables,oil,,,,,,,,,
beef,citrus fruit,pastry,,,,,,,,
salty snack,butter milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
soda,canned vegetables,,,,,,,,,
beef,frankfurter,other vegetables,brown bread,,,,,,,
tropical fruit,root vegetables,rolls/buns,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
soda,curd,,,,,,,,,
root vegetables,oil,,,,,,,,,
yogurt,salty snack,,,,,,,,,
onions,pip fruit,whipped/sour cream,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
misc. beverages,rice,soda,,,,,,,,
rolls/buns,chicken,shopping bags,hard cheese,,,,,,,
pip fruit,sugar,,,,,,,,,
tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,,
tropical fruit,soda,,,,,,,,,
yogurt,chocolate,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
frozen dessert,yogurt,,,,,,,,,
dessert,other vegetables,,,,,,,,,
berries,root vegetables,,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
canned beer,white bread,,,,,,,,,
herbs,whole milk,,,,,,,,,
pot plants,chicken,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
onions,long life bakery product,,,,,,,,,
frankfurter,butter,specialty bar,yogurt,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
pastry,UHT-milk,,,,,,,,,
pork,beverages,brown bread,Instant food products,margarine,,,,,,
yogurt,cream cheese ,fruit/vegetable juice,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
frozen meals,citrus fruit,,,,,,,,,
sweet spreads,butter,,,,,,,,,
tropical fruit,pastry,cream cheese ,,,,,,,,
coffee,butter,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
coffee,butter milk,,,,,,,,,
citrus fruit,soda,,,,,,,,,
frankfurter,dishes,rolls/buns,,,,,,,,
whole milk,curd,bottled beer,newspapers,,,,,,,
onions,onions,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
onions,vinegar,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
frankfurter,beef,,,,,,,,,
tropical fruit,napkins,frozen vegetables,pastry,,,,,,,
brown bread,shopping bags,,,,,,,,,
mayonnaise,chocolate,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,soda,,,,,,,,,
pip fruit,soda,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
soda,brown bread,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
soda,yogurt,,,,,,,,,
pip fruit,pasta,,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
herbs,yogurt,,,,,,,,,
bottled water,frozen vegetables,frozen vegetables,UHT-milk,,,,,,,
soda,brown bread,rolls/buns,sliced cheese,,,,,,,
soda,other vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
other vegetables,soda,brown bread,whole milk,yogurt,cling film/bags,brown bread,pastry,,,
whole milk,popcorn,,,,,,,,,
bottled water,yogurt,spices,fruit/vegetable juice,,,,,,,
beef,baking powder,,,,,,,,,
berries,pastry,,,,,,,,,
pastry,baking powder,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
soda,whole milk,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
hygiene articles,newspapers,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
flour,pork,butter,shopping bags,hard cheese,,,,,,
tropical fruit,candy,,,,,,,,,
soda,instant coffee,,,,,,,,,
citrus fruit,butter,rolls/buns,,,,,,,,
UHT-milk,margarine,,,,,,,,,
sugar,berries,seasonal products,bottled beer,,,,,,,
canned fish,coffee,,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
sausage,soda,,,,,,,,,
salty snack,semi-finished bread,sliced cheese,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
whipped/sour cream,pastry,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
napkins,butter milk,cat food,shopping bags,,,,,,,
yogurt,rolls/buns,domestic eggs,fruit/vegetable juice,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
canned beer,domestic eggs,whole milk,,,,,,,,
red/blush wine,other vegetables,,,,,,,,,
chicken,waffles,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
sausage,brown bread,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
ham,sausage,detergent,whipped/sour cream,yogurt,dishes,,,,,
oil,UHT-milk,,,,,,,,,
chicken,pastry,waffles,,,,,,,,
misc. beverages,liquor (appetizer),,,,,,,,,
dessert,butter milk,,,,,,,,,
soda,root vegetables,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
pickled vegetables,cling film/bags,,,,,,,,,
meat,newspapers,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
tropical fruit,other vegetables,pastry,tropical fruit,long life bakery product,bottled water,UHT-milk,fruit/vegetable juice,,,
dessert,whipped/sour cream,,,,,,,,,
bottled water,yogurt,beef,berries,chocolate,butter,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
beef,brown bread,,,,,,,,,
bottled beer,herbs,,,,,,,,,
other vegetables,berries,,,,,,,,,
frozen meals,rolls/buns,chocolate,shopping bags,,,,,,,
shopping bags,curd,,,,,,,,,
pastry,frozen fish,,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
whole milk,hard cheese,,,,,,,,,
other vegetables,butter,,,,,,,,,
pasta,shopping bags,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
pip fruit,cat food,,,,,,,,,
dishes,yogurt,,,,,,,,,
bottled water,yogurt,seasonal products,,,,,,,,
whole milk,pastry,napkins,,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,margarine,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
white wine,soda,,,,,,,,,
domestic eggs,beef,coffee,bottled beer,,,,,,,
bottled water,sugar,candy,,,,,,,,
curd,chocolate marshmallow,,,,,,,,,
liquor,curd,yogurt,tropical fruit,,,,,,,
citrus fruit,beef,,,,,,,,,
chicken,coffee,,,,,,,,,
other vegetables,cat food,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
curd,soda,shopping bags,,,,,,,,
curd,hygiene articles,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
beef,hygiene articles,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
female sanitary products,curd,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,pot plants,shopping bags,sugar,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,butter milk,,,,,,,,,
margarine,sugar,,,,,,,,,
fruit/vegetable juice,salt,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
pastry,sliced cheese,,,,,,,,,
other vegetables,margarine,,,,,,,,,
frankfurter,curd cheese,chocolate,pastry,soda,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
beverages,sausage,,,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
tropical fruit,butter milk,shopping bags,,,,,,,,
pickled vegetables,meat,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
frankfurter,curd,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
soda,sausage,butter milk,vinegar,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
beverages,candles,,,,,,,,,
chicken,whole milk,,,,,,,,,
whole milk,soda,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
frozen vegetables,sausage,whole milk,frozen vegetables,rolls/buns,other vegetables,oil,frozen fish,baking powder,,
whole milk,whipped/sour cream,soda,,,,,,,,
specialty chocolate,hamburger meat,frozen fish,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
yogurt,dessert,,,,,,,,,
sausage,hamburger meat,white bread,,,,,,,,
root vegetables,rolls/buns,flower (seeds),,,,,,,,
frankfurter,specialty bar,,,,,,,,,
organic sausage,bottled water,,,,,,,,,
sausage,whole milk,,,,,,,,,
UHT-milk,whole milk,newspapers,domestic eggs,,,,,,,
nuts/prunes,margarine,,,,,,,,,
frankfurter,butter,newspapers,,,,,,,,
finished products,pip fruit,root vegetables,canned fruit,,,,,,,
berries,grapes,other vegetables,,,,,,,,
other vegetables,pip fruit,UHT-milk,herbs,,,,,,,
spread cheese,specialty bar,,,,,,,,,
canned beer,whole milk,bottled beer,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
canned beer,grapes,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
dishes,chewing gum,,,,,,,,,
misc. beverages,margarine,,,,,,,,,
UHT-milk,canned vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
brown bread,soda,,,,,,,,,
tropical fruit,soda,margarine,,,,,,,,
salty snack,shopping bags,,,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
yogurt,yogurt,,,,,,,,,
citrus fruit,whole milk,curd,chocolate marshmallow,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
hygiene articles,margarine,,,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
yogurt,beef,,,,,,,,,
beef,tropical fruit,root vegetables,whole milk,cream cheese ,newspapers,,,,,
UHT-milk,berries,,,,,,,,,
pastry,canned beer,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
chocolate,brown bread,,,,,,,,,
citrus fruit,white bread,pastry,,,,,,,,
coffee,whole milk,,,,,,,,,
fish,soda,bottled beer,bottled beer,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
other vegetables,salt,,,,,,,,,
sausage,newspapers,soda,,,,,,,,
yogurt,other vegetables,white wine,frozen vegetables,,,,,,,
soda,photo/film,,,,,,,,,
berries,onions,,,,,,,,,
brown bread,oil,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
shopping bags,soda,,,,,,,,,
canned beer,yogurt,,,,,,,,,
pastry,yogurt,,,,,,,,,
yogurt,coffee,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
dessert,bottled water,,,,,,,,,
pork,ham,,,,,,,,,
coffee,whole milk,,,,,,,,,
margarine,whole milk,,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
whole milk,dog food,,,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
beef,citrus fruit,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
whole milk,bottled beer,rolls/buns,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
dish cleaner,bottled beer,fruit/vegetable juice,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
whole milk,yogurt,,,,,,,,,
newspapers,yogurt,semi-finished bread,,,,,,,,
sausage,beverages,,,,,,,,,
chicken,bottled water,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
root vegetables,salty snack,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
frankfurter,pickled vegetables,,,,,,,,,
pork,packaged fruit/vegetables,pastry,rolls/buns,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
soda,chocolate,,,,,,,,,
brown bread,whole milk,,,,,,,,,
berries,dishes,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
domestic eggs,hard cheese,,,,,,,,,
pastry,frozen dessert,,,,,,,,,
pork,tropical fruit,,,,,,,,,
beef,pork,,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
white bread,hard cheese,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
soda,roll products ,,,,,,,,,
beef,soda,,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
beef,rolls/buns,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
pastry,specialty cheese,soap,rolls/buns,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
finished products,brown bread,dishes,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
misc. beverages,other vegetables,brown bread,,,,,,,,
oil,other vegetables,rolls/buns,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
canned beer,yogurt,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
brown bread,processed cheese,,,,,,,,,
bottled beer,canned beer,,,,,,,,,
sausage,soda,,,,,,,,,
yogurt,chewing gum,shopping bags,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
specialty cheese,brown bread,margarine,,,,,,,,
tropical fruit,onions,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
hard cheese,yogurt,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
tropical fruit,condensed milk,pastry,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,sausage,whole milk,frozen vegetables,,,,,,,
condensed milk,onions,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
frankfurter,herbs,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
canned beer,white bread,male cosmetics,chocolate,,,,,,,
coffee,citrus fruit,,,,,,,,,
yogurt,soda,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
rolls/buns,canned fish,chocolate,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
root vegetables,hygiene articles,,,,,,,,,
beef,flower (seeds),,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
beef,soap,,,,,,,,,
canned beer,pip fruit,rolls/buns,brown bread,soft cheese,shopping bags,,,,,
butter,sugar,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
herbs,whole milk,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
pastry,sauces,,,,,,,,,
frankfurter,salty snack,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
pip fruit,tropical fruit,shopping bags,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
whole milk,bottled water,,,,,,,,,
whole milk,white bread,,,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
chocolate marshmallow,whole milk,whole milk,,,,,,,,
root vegetables,white bread,canned fish,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
yogurt,whole milk,waffles,,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,white bread,red/blush wine,,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
meat,rolls/buns,,,,,,,,,
dessert,other vegetables,long life bakery product,,,,,,,,
other vegetables,whole milk,yogurt,bottled water,,,,,,,
other vegetables,root vegetables,pastry,margarine,,,,,,,
coffee,pot plants,,,,,,,,,
flour,UHT-milk,,,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
frankfurter,sausage,,,,,,,,,
house keeping products,butter milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
pip fruit,tropical fruit,frozen potato products,sweet spreads,chocolate,napkins,candles,seasonal products,,,
coffee,shopping bags,shopping bags,,,,,,,,
coffee,soft cheese,,,,,,,,,
pip fruit,beverages,margarine,soda,,,,,,,
whole milk,domestic eggs,,,,,,,,,
bottled water,root vegetables,bottled beer,pastry,,,,,,,
pastry,chicken,packaged fruit/vegetables,tropical fruit,packaged fruit/vegetables,pasta,photo/film,sugar,,,
citrus fruit,soda,berries,coffee,sugar,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
sausage,root vegetables,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
zwieback,whole milk,domestic eggs,,,,,,,,
sausage,sausage,whole milk,canned fruit,cake bar,,,,,,
domestic eggs,chocolate,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
whole milk,pastry,liquor,,,,,,,,
beef,pastry,,,,,,,,,
butter,waffles,,,,,,,,,
sugar,seasonal products,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
ice cream,other vegetables,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
beef,whole milk,,,,,,,,,
bottled water,whole milk,,,,,,,,,
pastry,soft cheese,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
butter milk,hard cheese,,,,,,,,,
chocolate,herbs,,,,,,,,,
soda,root vegetables,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
tropical fruit,other vegetables,,,,,,,,,
soda,soda,oil,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,salty snack,,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
tropical fruit,bottled water,pastry,flour,,,,,,,
rolls/buns,specialty bar,spread cheese,,,,,,,,
soda,hygiene articles,,,,,,,,,
shopping bags,butter milk,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
pork,long life bakery product,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
sausage,pip fruit,soda,curd,waffles,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
pork,meat,rolls/buns,onions,frozen vegetables,root vegetables,beverages,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
hygiene articles,whole milk,,,,,,,,,
hamburger meat,dog food,domestic eggs,,,,,,,,
bottled water,dental care,,,,,,,,,
frozen vegetables,soft cheese,,,,,,,,,
pork,shopping bags,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
chicken,curd,,,,,,,,,
citrus fruit,beef,,,,,,,,,
white wine,dishes,,,,,,,,,
canned beer,flour,,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
root vegetables,pastry,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
tropical fruit,white wine,bottled beer,,,,,,,,
soda,spread cheese,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
rolls/buns,curd,,,,,,,,,
dessert,berries,newspapers,onions,,,,,,,
shopping bags,salty snack,,,,,,,,,
candy,rolls/buns,coffee,yogurt,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
other vegetables,canned beer,whole milk,,,,,,,,
chicken,margarine,,,,,,,,,
brown bread,whole milk,,,,,,,,,
bottled water,canned beer,,,,,,,,,
sausage,root vegetables,,,,,,,,,
pip fruit,cling film/bags,,,,,,,,,
curd,whole milk,,,,,,,,,
other vegetables,tropical fruit,seasonal products,butter,shopping bags,,,,,,
bottled water,whole milk,,,,,,,,,
processed cheese,salty snack,,,,,,,,,
beverages,other vegetables,,,,,,,,,
curd,syrup,,,,,,,,,
cream cheese ,female sanitary products,,,,,,,,,
frozen potato products,whole milk,,,,,,,,,
misc. beverages,instant coffee,soda,tropical fruit,cling film/bags,,,,,,
yogurt,frozen vegetables,waffles,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
rolls/buns,soda,,,,,,,,,
whole milk,berries,yogurt,,,,,,,,
sausage,other vegetables,,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
curd,rolls/buns,candy,,,,,,,,
tropical fruit,yogurt,fruit/vegetable juice,,,,,,,,
chicken,bottled water,,,,,,,,,
yogurt,whole milk,,,,,,,,,
pork,soda,,,,,,,,,
other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
canned vegetables,whole milk,,,,,,,,,
soda,oil,,,,,,,,,
whole milk,coffee,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
rolls/buns,tidbits,,,,,,,,,
ham,waffles,processed cheese,hygiene articles,,,,,,,
pip fruit,napkins,,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
rolls/buns,herbs,,,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
soda,frozen meals,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
sausage,specialty bar,,,,,,,,,
bottled water,cream cheese ,pip fruit,hygiene articles,,,,,,,
sugar,coffee,,,,,,,,,
onions,candy,,,,,,,,,
whole milk,canned beer,,,,,,,,,
newspapers,salty snack,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
cat food,pet care,oil,,,,,,,,
margarine,shopping bags,pickled vegetables,rolls/buns,,,,,,,
bottled water,dessert,,,,,,,,,
beef,hard cheese,soft cheese,yogurt,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
canned beer,flour,,,,,,,,,
yogurt,napkins,,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
root vegetables,soda,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
whole milk,soda,,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,frozen vegetables,soda,,,,,,,,
baking powder,soda,,,,,,,,,
oil,margarine,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
bottled water,seasonal products,,,,,,,,,
canned beer,coffee,,,,,,,,,
napkins,mayonnaise,,,,,,,,,
chicken,onions,,,,,,,,,
soda,candles,rolls/buns,,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
sausage,dessert,,,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
sugar,shopping bags,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
liver loaf,grapes,soda,photo/film,,,,,,,
berries,beverages,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
ham,white bread,,,,,,,,,
pastry,spread cheese,other vegetables,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
margarine,other vegetables,,,,,,,,,
whole milk,ice cream,detergent,rolls/buns,,,,,,,
other vegetables,coffee,,,,,,,,,
beef,other vegetables,,,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
bottled water,sausage,yogurt,bottled water,,,,,,,
curd,soda,,,,,,,,,
newspapers,whole milk,,,,,,,,,
photo/film,pastry,,,,,,,,,
beef,tea,,,,,,,,,
butter milk,hygiene articles,,,,,,,,,
sausage,sparkling wine,,,,,,,,,
whole milk,domestic eggs,canned vegetables,baking powder,hygiene articles,detergent,,,,,
ham,tropical fruit,soda,,,,,,,,
canned beer,onions,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
soda,brown bread,,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
